,X,Y,month,day,temp,RH,wind,rain
468,6,5,7,4,13.3,27,3.6,0.0
469,6,3,0,3,13.7,33,9.4,0.0
470,5,4,0,3,17.6,27,5.8,0.0
471,4,3,8,0,18.0,40,4.0,0.0
472,8,3,6,1,14.3,79,4.0,0.0
473,9,4,6,2,24.5,50,3.1,0.0
474,4,3,6,4,26.4,35,2.7,0.0
475,2,5,6,4,22.7,40,9.4,0.0
476,4,3,5,4,27.2,28,1.3,0.0
477,4,3,5,3,26.1,45,4.0,0.0
478,7,4,5,3,18.2,82,4.5,0.0
479,7,4,5,1,22.6,57,4.9,0.0
480,9,9,5,4,30.2,25,4.5,0.0
481,4,3,5,4,30.2,22,4.9,0.0
482,3,4,1,3,23.4,40,5.8,0.0
483,8,6,1,3,31.0,27,5.4,0.0
484,2,5,1,3,33.1,25,4.0,0.0
485,2,4,1,1,30.6,28,3.6,0.0
486,5,4,1,5,24.1,43,6.3,0.0
487,5,4,1,5,26.4,34,3.6,0.0
488,4,4,1,5,19.4,71,7.6,0.0
489,4,4,1,6,20.6,58,1.3,0.0
490,4,4,1,6,28.7,33,4.0,0.0
491,4,4,1,4,32.4,21,4.5,0.0
492,1,3,1,0,32.4,27,2.2,0.0
493,1,3,1,0,27.5,29,4.5,0.0
494,6,6,1,2,30.8,30,4.9,0.0
495,6,6,1,1,23.9,42,2.2,0.0
496,4,5,1,1,32.6,26,3.1,0.0
497,3,4,1,5,32.3,27,2.2,0.0
498,6,5,1,5,33.3,26,2.7,0.0
499,7,5,1,5,27.3,63,4.9,6.4
500,8,6,1,5,21.6,65,4.9,0.8
501,7,5,1,5,21.6,65,4.9,0.8
502,4,4,1,5,20.7,69,4.9,0.4
503,2,4,1,6,29.2,30,4.9,0.0
504,4,3,1,6,28.9,29,4.9,0.0
505,1,2,1,4,26.7,35,1.8,0.0
506,1,2,1,0,18.5,73,8.5,0.0
507,2,4,1,0,25.9,41,3.6,0.0
508,1,2,1,0,25.9,41,3.6,0.0
509,5,4,1,0,21.1,71,7.6,1.4
510,6,5,1,0,18.2,62,5.4,0.0
511,8,6,1,3,27.8,35,2.7,0.0
512,4,3,1,3,27.8,32,2.7,0.0
513,2,4,1,3,21.9,71,5.8,0.0
514,7,4,1,3,21.2,70,6.7,0.0
515,1,4,1,2,25.6,42,4.0,0.0
516,6,3,9,5,11.8,31,4.5,0.0
